category,rank,image_id,value,object_f1,fn,merge_count,split_count,count_error,gt_instance_count,pred_instance_count
highest_fn,1,mexico-earthquake_00000117,356,0.197615,356,66,19,-241,414,173
highest_fn,2,hurricane-matthew_00000345,238,0.428402,238,35,40,7,419,426
highest_fn,3,mexico-earthquake_00000006,216,0.261728,216,50,11,-133,269,136
highest_fn,4,mexico-earthquake_00000188,214,0.231579,214,31,9,-136,258,122
highest_fn,5,mexico-earthquake_00000183,191,0.399209,191,58,18,-78,292,214
highest_fn,6,mexico-earthquake_00000139,183,0.142857,183,20,1,-138,202,64
highest_fn,7,mexico-earthquake_00000135,162,0.324324,162,42,10,-99,216,117
highest_fn,8,palu-tsunami_00000062,131,0.645291,131,49,12,-85,292,207
highest_fn,9,mexico-earthquake_00000063,123,0.413793,123,30,9,-76,183,107
highest_fn,10,mexico-earthquake_00000061,122,0.535211,122,37,10,-46,236,190
highest_fn,11,mexico-earthquake_00000069,108,0.221053,108,20,6,-68,129,61
highest_fn,12,hurricane-matthew_00000286,108,0.497738,108,10,13,6,218,224
highest_fn,13,mexico-earthquake_00000058,99,0.46438,99,28,24,5,187,192
highest_fn,14,hurricane-harvey_00000131,90,0.690265,90,38,6,-40,246,206
highest_fn,15,hurricane-harvey_00000456,89,0.425121,89,30,3,-59,133,74
highest_fn,16,palu-tsunami_00000181,86,0.633053,86,32,8,-41,199,158
highest_fn,17,mexico-earthquake_00000121,78,0.404255,78,25,25,12,135,147
highest_fn,18,palu-tsunami_00000081,77,0.434343,77,19,10,-42,120,78
highest_fn,19,mexico-earthquake_00000161,77,0.485507,77,25,11,-12,144,132
highest_fn,20,mexico-earthquake_00000187,76,0.54375,76,27,10,-6,163,157
worst_object_f1,1,hurricane-harvey_00000310,0.0,0.0,7,0,0,-7,7,0
worst_object_f1,2,socal-fire_00000963,0.0,0.0,5,0,0,-5,5,0
worst_object_f1,3,hurricane-matthew_00000147,0.0,0.0,4,0,0,-3,4,1
worst_object_f1,4,hurricane-matthew_00000270,0.0,0.0,4,0,0,-4,4,0
worst_object_f1,5,socal-fire_00000217,0.0,0.0,4,0,0,-4,4,0
worst_object_f1,6,socal-fire_00000276,0.0,0.0,4,0,1,2,4,6
worst_object_f1,7,midwest-flooding_00000142,0.0,0.0,3,0,0,-1,3,2
worst_object_f1,8,midwest-flooding_00000254,0.0,0.0,3,0,0,-3,3,0
worst_object_f1,9,hurricane-harvey_00000342,0.0,0.0,2,0,0,-2,2,0
worst_object_f1,10,midwest-flooding_00000135,0.0,0.0,2,0,0,0,2,2
worst_object_f1,11,midwest-flooding_00000208,0.0,0.0,2,0,0,-2,2,0
worst_object_f1,12,socal-fire_00000293,0.0,0.0,2,0,0,0,2,2
worst_object_f1,13,guatemala-volcano_00000005,0.0,0.0,1,0,0,-1,1,0
worst_object_f1,14,guatemala-volcano_00000011,0.0,0.0,1,0,0,-1,1,0
worst_object_f1,15,hurricane-florence_00000128,0.0,0.0,1,0,0,-1,1,0
worst_object_f1,16,hurricane-harvey_00000259,0.0,0.0,1,0,0,-1,1,0
worst_object_f1,17,midwest-flooding_00000088,0.0,0.0,1,0,0,-1,1,0
