epoch,tau_phase,tau_override_value,train_tau_mean,train_tau_std,train_tau_min,train_tau_max,train_tau_p10,train_tau_p50,train_tau_p90,val_tau_mean,val_tau_std,val_tau_min,val_tau_max,val_tau_p10,val_tau_p50,val_tau_p90,train_difficulty_mean,train_difficulty_std,train_corr_tau_difficulty,val_difficulty_mean,val_difficulty_std,val_corr_tau_difficulty
1,warmup_fixed_tau,0.22,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.39420753717422485,0.26148322224617004,2.921517250342731e-08,0.35859552025794983,0.2524523138999939,1.7060767731891247e-07
2,warmup_fixed_tau,0.22,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.3453979790210724,0.2667732536792755,1.5678126885632082e-07,0.2889478802680969,0.2701101303100586,2.0141635559411952e-07
3,warmup_fixed_tau,0.22,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.32023146748542786,0.27304011583328247,6.994647971936274e-09,0.26055529713630676,0.25600242614746094,7.08386451719889e-08
4,warmup_fixed_tau,0.22,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.2953435182571411,0.2745874226093292,4.05142266401981e-08,0.2856849431991577,0.288621187210083,3.141638060810692e-08
5,warmup_fixed_tau,0.22,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.2812421917915344,0.2731340527534485,5.104336864292236e-08,0.2688811421394348,0.26675161719322205,1.6996023077808786e-07
6,adaptive_tau,,0.12118053436279297,0.009083169512450695,0.1199951171875,0.220458984375,0.1199951171875,0.1199951171875,0.1199951171875,0.11999543011188507,4.1865994717227295e-05,0.1199951171875,0.12890625,0.1199951171875,0.1199951171875,0.1199951171875,0.24895736575126648,0.28255218267440796,0.02212207019329071,0.2268155962228775,0.282714307308197,0.00951015017926693
7,adaptive_tau,,0.11999522149562836,2.0732561097247526e-05,0.1199951171875,0.126220703125,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.2421904355287552,0.2793121635913849,0.004645984154194593,0.20331592857837677,0.28748658299446106,7.885091690695845e-08
8,adaptive_tau,,0.11999513953924179,8.855800842866302e-06,0.1199951171875,0.12353515625,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.2356373816728592,0.27701669931411743,-0.0015381798148155212,0.22503721714019775,0.2759459316730499,-8.214863811417672e-08
9,adaptive_tau,,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.22980254888534546,0.2750203013420105,-2.0138427814231363e-08,0.1889648586511612,0.2758941352367401,-4.92984355560111e-08
10,adaptive_tau,,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.22283188998699188,0.2728956639766693,5.77363969966882e-08,0.22369112074375153,0.28477999567985535,7.960032633036462e-08
