epoch,tau_phase,tau_override_value,train_tau_mean,train_tau_std,train_tau_min,train_tau_max,train_tau_p10,train_tau_p50,train_tau_p90,val_tau_mean,val_tau_std,val_tau_min,val_tau_max,val_tau_p10,val_tau_p50,val_tau_p90,train_difficulty_mean,train_difficulty_std,train_tau_at_min_ratio,train_tau_at_max_ratio,train_raw_tau_mean,train_raw_tau_std,train_raw_tau_min,train_raw_tau_max,train_raw_tau_p10,train_raw_tau_p50,train_raw_tau_p90,train_tau_minus_tau_ref_mean,train_tau_minus_tau_ref_std,train_tau_minus_tau_ref_min,train_tau_minus_tau_ref_max,train_corr_tau_difficulty,val_difficulty_mean,val_difficulty_std,val_tau_at_min_ratio,val_tau_at_max_ratio,val_raw_tau_mean,val_raw_tau_std,val_raw_tau_min,val_raw_tau_max,val_raw_tau_p10,val_raw_tau_p50,val_raw_tau_p90,val_tau_minus_tau_ref_mean,val_tau_minus_tau_ref_std,val_tau_minus_tau_ref_min,val_tau_minus_tau_ref_max,val_corr_tau_difficulty
1,warmup_fixed_tau,0.22,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.2199706882238388,1.4901161193847656e-08,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.219970703125,0.39420753717422485,0.26148322224617004,0.0,0.0,-0.828065812587738,0.007127293385565281,-0.86181640625,-0.79541015625,-0.83740234375,-0.828125,-0.81884765625,-0.003149518510326743,0.041845183819532394,-0.099853515625,0.059326171875,2.921517250342731e-08,0.35859552025794983,0.2524523138999939,0.0,0.0,-0.8301960229873657,0.006460638716816902,-0.85888671875,-0.80078125,-0.83837890625,-0.830078125,-0.82177734375,0.0025489595718681812,0.04039950668811798,-0.10009765625,0.0560302734375,1.7060767731891247e-07
2,adaptive_tau,,0.12054088711738586,0.005936611909419298,0.1199951171875,0.2213134765625,0.1199951171875,0.1199951171875,0.12005615234375,0.11999530345201492,5.110543042974314e-06,0.1199951171875,0.1207275390625,0.1199951171875,0.1199951171875,0.1199951171875,0.30854663252830505,0.28849169611930847,0.8793314099311829,0.0,-12.762003898620605,2.8583996295928955,-21.609375,-0.81494140625,-16.046875,-13.109375,-9.0390625,-0.08887101709842682,0.04646507278084755,-0.2000732421875,0.0538330078125,0.013991598039865494,0.24583293497562408,0.2781066596508026,0.9978272914886475,0.0,-14.747395515441895,1.6351945400238037,-20.671875,-6.0859375,-16.734375,-14.859375,-12.5859375,-0.07938062399625778,0.04450598359107971,-0.2000732421875,-0.040283203125,-0.014437464997172356
3,adaptive_tau,,0.1199951246380806,1.012752022688801e-06,0.1199951171875,0.1202392578125,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.2933887541294098,0.2885739207267761,0.9998372793197632,0.0,-17.5274600982666,2.381657838821411,-28.171875,-7.2421875,-20.640625,-17.46875,-14.5078125,-0.08699126541614532,0.04618086293339729,-0.2000732421875,-0.0400390625,0.005620627664029598,0.22464285790920258,0.27195581793785095,1.0,0.0,-18.945646286010742,1.9576724767684937,-26.734375,-9.875,-21.421875,-18.96875,-16.453125,-0.07598962634801865,0.04352150112390518,-0.2000732421875,-0.0401611328125,-8.335391754599186e-08
4,adaptive_tau,,0.1199951246380806,1.528497506342319e-07,0.1199951171875,0.12005615234375,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.2743178606033325,0.28635483980178833,0.9999937415122986,0.0,-21.41854476928711,2.854905366897583,-33.09375,-8.78125,-25.03125,-21.453125,-17.703125,-0.0839390903711319,0.04582589864730835,-0.2000732421875,-0.0400390625,0.000591004325542599,0.2609217166900635,0.2943546772003174,1.0,0.0,-22.41765594482422,2.338305711746216,-31.625,-11.2734375,-25.28125,-22.5625,-19.28125,-0.08179505914449692,0.04710595682263374,-0.2000732421875,-0.0401611328125,1.5402221720250964e-08
5,adaptive_tau,,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.2608555853366852,0.2834600806236267,1.0,0.0,-24.10637855529785,2.9548287391662598,-37.40625,-11.59375,-27.84375,-24.140625,-20.28125,-0.08178460597991943,0.0453624501824379,-0.2000732421875,-0.0400390625,-1.0106286918443175e-09,0.23071089386940002,0.2765659987926483,1.0,0.0,-24.089550018310547,2.129585027694702,-34.21875,-14.8515625,-26.78125,-24.09375,-21.34375,-0.07696069777011871,0.04425925388932228,-0.2000732421875,-0.0401611328125,1.6392890600513965e-08
6,adaptive_tau,,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.2506021559238434,0.2816929221153259,1.0,0.0,-26.105655670166016,3.11099910736084,-41.625,-13.4609375,-30.0625,-26.109375,-22.125,-0.08014363795518875,0.04507945477962494,-0.2000732421875,-0.0400390625,-1.270363441108202e-07,0.22638386487960815,0.2825975716114044,1.0,0.0,-26.8508358001709,2.506420135498047,-37.40625,-17.109375,-30.0,-26.953125,-23.546875,-0.07626836001873016,0.045224834233522415,-0.2000732421875,-0.0400390625,3.208602450399667e-08
7,adaptive_tau,,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.2436530441045761,0.2795966565608978,1.0,0.0,-27.891773223876953,3.347172498703003,-44.46875,-14.140625,-32.15625,-27.859375,-23.625,-0.07903176546096802,0.04474446550011635,-0.2000732421875,-0.0400390625,2.8944766583549608e-08,0.2015244960784912,0.27968430519104004,1.0,0.0,-27.5067195892334,2.4903528690338135,-40.65625,-18.96875,-30.75,-27.4375,-24.34375,-0.07228982448577881,0.04475807771086693,-0.2000732421875,-0.0400390625,3.242024249061615e-08
8,adaptive_tau,,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.23719832301139832,0.2774994969367981,1.0,0.0,-28.224884033203125,3.3340578079223633,-44.8125,-13.9453125,-32.5,-28.171875,-24.0,-0.07799884676933289,0.04440869763493538,-0.2000732421875,-0.0400390625,5.161683858112553e-10,0.2178032100200653,0.280489057302475,1.0,0.0,-27.88324546813965,2.5515875816345215,-42.3125,-18.390625,-31.21875,-27.75,-24.703125,-0.07489495724439621,0.04488714039325714,-0.2000732421875,-0.0401611328125,0.0
9,adaptive_tau,,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.23064681887626648,0.27625927329063416,1.0,0.0,-28.590145111083984,3.181445598602295,-45.59375,-15.0390625,-32.625,-28.546875,-24.578125,-0.07695029675960541,0.04421059414744377,-0.2000732421875,-0.0400390625,6.066282054462135e-08,0.1938382089138031,0.2837381958961487,1.0,0.0,-28.4075927734375,2.3393380641937256,-41.75,-19.984375,-31.46875,-28.28125,-25.5,-0.07105950266122818,0.04540671408176422,-0.2000732421875,-0.0400390625,-6.391407936234828e-08
10,adaptive_tau,,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951246380806,7.450580596923828e-09,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.1199951171875,0.22445066273212433,0.2738998830318451,1.0,0.0,-28.674484252929688,3.178154945373535,-46.25,-16.125,-32.75,-28.578125,-24.703125,-0.07595863193273544,0.04383256286382675,-0.2000732421875,-0.0400390625,-2.9633939746531723e-09,0.22725550830364227,0.2861294448375702,1.0,0.0,-28.138723373413086,2.312486410140991,-40.1875,-20.40625,-31.1875,-28.015625,-25.25,-0.07640755921602249,0.04578990116715431,-0.2000732421875,-0.0401611328125,0.0
