epoch,loss_mode,gap_01,gap_12,gap_23,s0,s1,s2,s3,tau,train_loss,train_macro_f1,val_loss,val_macro_f1
1,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.3552157762355297,0.5783994229055827,0.27072196622219147,0.6255549398317213
2,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.3258059826228108,0.6182654132162819,0.26474768374353896,0.6468502228515078
3,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.3162955155673222,0.6310254800115512,0.26414735749011087,0.651637306699798
4,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.2973278242995532,0.6517916235404765,0.2580248254559028,0.6468389769242311
5,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.2843070580344851,0.6658511481355387,0.2509468108843476,0.6670660704144045
6,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.2741666070363301,0.6767205177187724,0.2553837366064772,0.6701773009271624
7,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.26496898275759223,0.6852728310881964,0.2572125279974753,0.6832850663341539
8,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.2592600217882884,0.6911157886997452,0.23886540554785546,0.6665836441461768
9,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.2518332978017908,0.6979890744804851,0.24241108002457612,0.6926459118817313
10,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.24638508994877814,0.7045990459445777,0.23689148652681194,0.6752955184650293
11,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.2405460520135327,0.7089048677956178,0.23865000389536242,0.6767979047242008
12,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.2348088814263189,0.71437018841743,0.24466849060626242,0.6923195671627642
13,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.2293264645026258,0.7212756998370242,0.25189045612294075,0.6923952672729256
14,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.22468585190247334,0.7252137222788175,0.2476967637946037,0.6831914907866671
15,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.21871376667017453,0.7279369680585852,0.2505635656549759,0.6812869205762473
16,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.21438461689860766,0.7331998415977908,0.255446445687036,0.6801979462792394
17,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.20901510612857935,0.7381128280394933,0.2554666679993452,0.7183278857290533
18,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.20192914618720173,0.7423142069478891,0.2543565409893244,0.6651102061213489
19,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.19632596552474696,0.7494608554788864,0.25555812083505536,0.6962609687841186
20,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.18945847024747092,0.7541614701004313,0.26399976486579974,0.7044166895143891
21,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.18346751176073217,0.7599125898844653,0.2564024039778909,0.7045170258345332
22,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.17778568858088897,0.7657119668209662,0.27357442687786254,0.6886811062782618
23,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.17120033517802272,0.7714464919274916,0.29636374154441014,0.6886254059615243
24,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.16612077053052385,0.7771157857469972,0.29134222583164643,0.6982792222434351
