image_id,pred_instance_count,gt_instance_count,tp,fp,fn,object_precision,object_recall,object_f1,mean_matched_iou,merge_count,split_count,count_error,density_bucket,prediction_status,pred_file,gt_file
guatemala-volcano_00000003,3,3,3,0,0,1.0,1.0,1.0,0.769122,0,0,0,sparse,present,guatemala-volcano_00000003_pre_disaster.png,guatemala-volcano_00000003_pre_disaster_target.png
guatemala-volcano_00000005,0,1,0,0,1,0.0,0.0,0.0,,0,0,-1,sparse,present,guatemala-volcano_00000005_pre_disaster.png,guatemala-volcano_00000005_pre_disaster_target.png
guatemala-volcano_00000009,4,4,4,0,0,1.0,1.0,1.0,0.862899,0,0,0,sparse,present,guatemala-volcano_00000009_pre_disaster.png,guatemala-volcano_00000009_pre_disaster_target.png
guatemala-volcano_00000011,0,1,0,0,1,0.0,0.0,0.0,,0,0,-1,sparse,present,guatemala-volcano_00000011_pre_disaster.png,guatemala-volcano_00000011_pre_disaster_target.png
guatemala-volcano_00000021,26,20,11,15,9,0.423077,0.55,0.478261,0.784127,2,0,6,medium,present,guatemala-volcano_00000021_pre_disaster.png,guatemala-volcano_00000021_pre_disaster_target.png
hurricane-florence_00000004,76,76,68,8,8,0.894737,0.894737,0.894737,0.887711,1,1,0,dense,present,hurricane-florence_00000004_pre_disaster.png,hurricane-florence_00000004_pre_disaster_target.png
hurricane-florence_00000005,75,74,72,3,2,0.96,0.972973,0.966443,0.880801,0,0,1,dense,present,hurricane-florence_00000005_pre_disaster.png,hurricane-florence_00000005_pre_disaster_target.png
hurricane-florence_00000007,15,16,14,1,2,0.933333,0.875,0.903226,0.878444,0,0,-1,medium,present,hurricane-florence_00000007_pre_disaster.png,hurricane-florence_00000007_pre_disaster_target.png
hurricane-florence_00000013,45,48,45,0,3,1.0,0.9375,0.967742,0.883025,0,0,-3,dense,present,hurricane-florence_00000013_pre_disaster.png,hurricane-florence_00000013_pre_disaster_target.png
hurricane-florence_00000019,157,133,107,50,26,0.681529,0.804511,0.737931,0.805015,5,5,24,dense,present,hurricane-florence_00000019_pre_disaster.png,hurricane-florence_00000019_pre_disaster_target.png
hurricane-florence_00000029,3,5,1,2,4,0.333333,0.2,0.25,0.781109,1,0,-2,medium,present,hurricane-florence_00000029_pre_disaster.png,hurricane-florence_00000029_pre_disaster_target.png
hurricane-florence_00000039,5,4,4,1,0,0.8,1.0,0.888889,0.733613,0,0,1,sparse,present,hurricane-florence_00000039_pre_disaster.png,hurricane-florence_00000039_pre_disaster_target.png
hurricane-florence_00000046,153,154,148,5,6,0.96732,0.961039,0.964169,0.88734,2,1,-1,dense,present,hurricane-florence_00000046_pre_disaster.png,hurricane-florence_00000046_pre_disaster_target.png
hurricane-florence_00000056,0,0,0,0,0,1.0,1.0,1.0,,0,0,0,sparse,present,hurricane-florence_00000056_pre_disaster.png,hurricane-florence_00000056_pre_disaster_target.png
