category,rank,image_id,value,object_f1,fn,merge_count,split_count,count_error,gt_instance_count,pred_instance_count
highest_fn,1,mexico-earthquake_00000117,344,0.225806,344,69,30,-208,414,206
highest_fn,2,hurricane-matthew_00000345,230,0.442105,230,32,43,17,419,436
highest_fn,3,mexico-earthquake_00000006,210,0.284337,210,51,15,-123,269,146
highest_fn,4,mexico-earthquake_00000188,208,0.257732,208,33,11,-128,258,130
highest_fn,5,mexico-earthquake_00000139,180,0.16,180,23,2,-129,202,73
highest_fn,6,mexico-earthquake_00000183,177,0.429907,177,52,21,-49,292,243
highest_fn,7,mexico-earthquake_00000135,155,0.350575,155,41,11,-84,216,132
highest_fn,8,mexico-earthquake_00000063,120,0.427119,120,32,10,-71,183,112
highest_fn,9,palu-tsunami_00000062,120,0.670565,120,43,13,-71,292,221
highest_fn,10,mexico-earthquake_00000061,114,0.547085,114,37,12,-26,236,210
highest_fn,11,hurricane-matthew_00000286,107,0.49115,107,9,17,16,218,234
highest_fn,12,mexico-earthquake_00000069,106,0.238342,106,20,6,-65,129,64
highest_fn,13,mexico-earthquake_00000058,94,0.473282,94,26,27,19,187,206
highest_fn,14,hurricane-harvey_00000456,85,0.454976,85,30,3,-55,133,78
highest_fn,15,hurricane-harvey_00000131,82,0.709957,82,35,7,-30,246,216
highest_fn,16,palu-tsunami_00000181,79,0.653951,79,32,10,-31,199,168
highest_fn,17,mexico-earthquake_00000161,77,0.462069,77,25,18,2,144,146
highest_fn,18,mexico-earthquake_00000005,74,0.554455,74,23,14,-13,158,145
highest_fn,19,palu-tsunami_00000081,73,0.467662,73,19,10,-39,120,81
highest_fn,20,mexico-earthquake_00000121,72,0.417219,72,23,28,32,135,167
worst_object_f1,1,hurricane-harvey_00000310,0.0,0.0,7,0,0,-7,7,0
worst_object_f1,2,socal-fire_00000963,0.0,0.0,5,0,0,-5,5,0
worst_object_f1,3,hurricane-matthew_00000147,0.0,0.0,4,0,0,-3,4,1
worst_object_f1,4,hurricane-matthew_00000270,0.0,0.0,4,0,0,-4,4,0
worst_object_f1,5,socal-fire_00000217,0.0,0.0,4,0,0,-4,4,0
worst_object_f1,6,socal-fire_00000276,0.0,0.0,4,0,1,2,4,6
worst_object_f1,7,midwest-flooding_00000142,0.0,0.0,3,0,0,-1,3,2
worst_object_f1,8,midwest-flooding_00000254,0.0,0.0,3,0,0,-3,3,0
worst_object_f1,9,hurricane-harvey_00000342,0.0,0.0,2,0,0,-2,2,0
worst_object_f1,10,midwest-flooding_00000135,0.0,0.0,2,0,0,0,2,2
worst_object_f1,11,midwest-flooding_00000208,0.0,0.0,2,0,0,-2,2,0
