method,bucket_group,bucket_name,gt_count,matched_count,recall,mean_matched_iou,available
cc,gt_area_bucket,small,320,19,0.059375,0.64083,1
cc,gt_area_bucket,medium,5233,2198,0.420027,0.721299,1
cc,gt_area_bucket,large,30269,21849,0.721828,0.788645,1
cc,image_density_bucket,sparse,315,224,0.711111,0.801348,1
cc,image_density_bucket,medium,4670,3399,0.727837,0.790789,1
cc,image_density_bucket,dense,30837,20443,0.662937,0.780771,1
cc,gt_area_by_density_bucket,large__dense,26824,18977,0.707463,0.785894,1
cc,gt_area_by_density_bucket,large__medium,3250,2699,0.830462,0.806161,1
cc,gt_area_by_density_bucket,large__sparse,195,173,0.887179,0.817173,1
cc,gt_area_by_density_bucket,medium__dense,3796,1452,0.382508,0.715147,1
cc,gt_area_by_density_bucket,medium__medium,1331,697,0.523666,0.731806,1
cc,gt_area_by_density_bucket,medium__sparse,106,49,0.462264,0.754124,1
cc,gt_area_by_density_bucket,small__dense,217,14,0.064516,0.643037,1
cc,gt_area_by_density_bucket,small__medium,89,3,0.033708,0.664769,1
cc,gt_area_by_density_bucket,small__sparse,14,2,0.142857,0.589471,1
watershed,gt_area_bucket,small,401,21,0.052369,0.648301,1
watershed,gt_area_bucket,medium,5996,2336,0.389593,0.719143,1
watershed,gt_area_bucket,large,32289,22554,0.698504,0.788883,1
watershed,image_density_bucket,sparse,314,219,0.697452,0.799336,1
watershed,image_density_bucket,medium,4794,3449,0.719441,0.790567,1
watershed,image_density_bucket,dense,33578,21243,0.632646,0.780694,1
watershed,gt_area_by_density_bucket,large__dense,28778,19655,0.682987,0.786243,1
watershed,gt_area_by_density_bucket,large__medium,3319,2729,0.822236,0.806277,1
watershed,gt_area_by_density_bucket,large__sparse,192,170,0.885417,0.814825,1
watershed,gt_area_by_density_bucket,medium__dense,4513,1574,0.34877,0.712616,1
watershed,gt_area_by_density_bucket,medium__medium,1375,715,0.52,0.731336,1
watershed,gt_area_by_density_bucket,medium__sparse,108,47,0.435185,0.752241,1
watershed,gt_area_by_density_bucket,small__dense,287,14,0.04878,0.643037,1
watershed,gt_area_by_density_bucket,small__medium,100,5,0.05,0.686573,1
watershed,gt_area_by_density_bucket,small__sparse,14,2,0.142857,0.589471,1
